Group,Code,Name,Description,Color,Facility Map,ZoneType,ZoneGroup,Zone Points,Zone Properties
">LAM>METRORAILBUS",1878,17th St/SMC,,"#3388FF",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.49495936965567|34.0125782883469;-118.4948011193238|34.0125782883469;-118.4948011193238|34.01244711220416;-118.49495936965567|34.01244711220416,
">LAM>METRORAILBUS",1879,Downtown Santa Monica,,"#3388FF",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.49528391694646|34.0124493355303;-118.49528391694646|34.01258940495984;-118.49514175986866|34.01258940495984;-118.49514175986866|34.0124493355303,
">LAM>METRORAILBUS",1910,Cal State LA,,"#696E6C",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.4863038811646|34.0135432049311;-118.4863038811646|34.013689942437175;-118.48609466886143|34.013689942437175;-118.48609466886143|34.0135432049311,
">LAM>METRORAILBUS",1911,LAC USC Medical Center,,"#696E6C",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.48674376344306|34.013685495849806;-118.48653455113987|34.013685495849806;-118.48653455113987|34.013556544714845;-118.48674376344306|34.013556544714845,
">LAM>METRORAILBUS",1912,37th St/USC-Silver,,"#696D6E",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.48982025718313|34.012369295752514;-118.48982025718313|34.01250269534023;-118.48963786697011|34.01250269534023;-118.48963786697011|34.012369295752514,
">LAM>METRORAILBUS",1914,Slauson Bus Facility-Silver,,"#696D6E",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.48981757497408|34.01182235525162;-118.48981757497408|34.01194241566339;-118.4896405491791|34.01194241566339;-118.4896405491791|34.01182235525162,
">LAM>METRORAILBUS",1915,Manchester-Silver,,"#696D6E",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.48982025718313|34.01126207108531;-118.48982025718313|34.01139547241262;-118.48964591359717|34.01139547241262;-118.48964591359717|34.01126207108531,
">LAM>METRORAILBUS",1916,Rosecrans-Silver,,"#696D6E",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.48982025718313|34.00996584394261;-118.48982025718313|34.010099247306414;-118.48963518476108|34.010099247306414;-118.48963518476108|34.00996584394261,
">LAM>METRORAILBUS",1917,Harbor Gateway Transit Center,,"#696D6E",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.4899087700806|34.009652345212636;-118.4899087700806|34.00987913164374;-118.48962982034305|34.00987913164374;-118.48962982034305|34.009652345212636,
">LAM>METRORAILBUS",223,Canoga Ave,,"#FF9830",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.49506232038136|34.015857070239;-118.49506232038136|34.01593705462165;-118.49496048025783|34.01593705462165;-118.49496048025783|34.015857070239,
">LAM>METRORAILBUS",2709,2709-Pico Blvd Mid-Wilshire,,"#599AFD",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.49148631095888|34.01313820834123;-118.49148631095888|34.0132760533293;-118.49127709865571|34.0132760533293;-118.49127709865571|34.01313820834123,
">LAM>METRORAILBUS",310,Arcadia Station,,"#FFD940",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.48648358916863|34.01666243397615;-118.48634411429983|34.01666243397615;-118.48634411429983|34.01653571058199;-118.48648358916863|34.01653571058199,
">LAM>METRORAILBUS",471,Duarte/City of Hope,,"#FFD940",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.48582644795995|34.01651792482734;-118.48582644795995|34.01666243397615;-118.48566015100103|34.01666243397615;-118.48566015100103|34.01651792482734,
">LAM>METRORAILBUS",474,Irwindale,,"#FFD940",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.48548312520603|34.01652014804688;-118.48548312520603|34.01664687146426;-118.48531951045615|34.01664687146426;-118.48531951045615|34.01652014804688,
">LAM>METRORAILBUS",489,Monrovia,,"#FFD940",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.48616708850483|34.01652459448577;-118.48616708850483|34.01665354111254;-118.4859954271279|34.01665354111254;-118.4859954271279|34.01652459448577,
">LAM>METRORAILBUS",575,Azusa Downtown,,"#FFD940",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.48515321349723|34.01664020181541;-118.4849869165383|34.01664020181541;-118.4849869165383|34.01652904092443;-118.48515321349723|34.01652904092443,
